"Symbol","Name","LastSale","MarketCap","ADR.TSO","IPOyear","Sector","Industry","Summary.Quote","genType"
"AXAS","Abraxas Petroleum Corporation","2.67",442957856.7,"n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas","energy"
"AE","Adams Resources & Energy, Inc.","45",189791820,"n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae","energy"
"AAV","Advantage Oil & Gas Ltd","3.25",604380354.5,"n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aav","energy"
"ANW","Aegean Marine Petroleum Network Inc.","2.35",95504991.7,"n/a","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw","energy"
"AHGP","Alliance Holdings GP, L.P.","23.33",1396603790,"n/a","2006","Energy","Coal Mining","https://www.nasdaq.com/symbol/ahgp","energy"
"ARLP","Alliance Resource Partners, L.P.","16.55",2166448887,"n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp","energy"
"AETI","American Electric Technologies, Inc.","0.8001",6997401.766,"n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti","energy"
"AEUA","Anadarko Petroleum Corporation","29.09",0,"n/a","2015","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aeua","energy"
"APC","Anadarko Petroleum Corporation","63.03",32481115142,"n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc","energy"
"ANDV","Andeavor","110.56",16915990895,"n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/andv","energy"
"ANDX","Andeavor Logistics LP","45.67",9917899244,"n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx","energy"
"AR","Antero Resources Corporation","20.72",6558379559,"n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar","energy"
"APA","Apache Corporation","40.62",15522797004,"n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa","energy"
"AREX","Approach Resources Inc.","2.71",255642920.5,"n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex","energy"
"ARCH","Arch Coal, Inc.","97.22",2024595320,"n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch","energy"
"AT","Atlantic Power Corporation","2.2",248553786.8,"n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at","energy"
"BHGE","Baker Hughes, a GE company","32.57",36686895552,"n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge","energy"
"BLDP","Ballard Power Systems, Inc.","3.53",628658575.4,"n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp","energy"
